title,score,scored_by,rank,popularity,members,favorites,episodes,type,source,status,year,season,rating,duration,genres,themes,demographics,studios,producers,licensors
Mushi-Shi: The Next Chapter - Drops of Bells,8.58,56367,120.0,1875,141642,236,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,47 min,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",Seinen,Artland,"Aniplex, Kodansha, Delfi Sound",
Nippon Sangoku: The Three Nations of the Crimson Sun,8.58,31113,121.0,2415,99773,718,12.0,TV,Web manga,Finished Airing,2026.0,spring,R - 17+ (violence & profanity),24 min per ep,Drama,Military,,Studio Kafka,"Sound Team Don Juan, Twin Engine, Amazon MGM Studios",
Evangelion: 3.0+1.0 Thrice Upon a Time,8.58,194808,122.0,634,427887,8316,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,2 hr 35 min,"Award Winning, Drama, Sci-Fi, Suspense","Mecha, Psychological",,Khara,,GKIDS
Natsume's Book of Friends Season 7,8.57,19002,124.0,3279,59744,542,12.0,TV,Manga,Finished Airing,2024.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Shuka,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Ai Addiction",
Attack on Titan,8.57,3085758,125.0,1,4388663,190398,25.0,TV,Manga,Finished Airing,2013.0,spring,R - 17+ (violence & profanity),24 min per ep,"Action, Award Winning, Drama, Suspense","Gore, Military, Survival",Shounen,Wit Studio,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",Funimation
Umamusume: Cinderella Gray,8.57,53922,127.0,2316,106417,1708,13.0,TV,Manga,Finished Airing,2025.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Drama, Sports","Anthropomorphic, Racing",Seinen,CygamesPictures,"TBS, Universal Music Japan, Cygames, Bit grooove promotion, Happinet Media Marketing",
Haikyu!! To the Top 2nd-cour,8.56,558058,128.0,218,934629,6521,12.0,TV,Manga,Finished Airing,2020.0,fall,PG-13 - Teens 13 or older,23 min per ep,Sports,"School, Team Sports",Shounen,Production I.G,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Sentai Filmworks
Kizumonogatari Part 2: Hot-Blooded,8.56,298518,129.0,536,491923,2508,1.0,Movie,Light novel,Finished Airing,,,R - 17+ (violence & profanity),1 hr 8 min,"Action, Mystery, Supernatural",Vampire,,Shaft,"Aniplex, Kodansha",Aniplex of America
Natsume's Book of Friends Season 5,8.56,84075,130.0,1367,206924,914,11.0,TV,Manga,Finished Airing,2016.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Shuka,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",
Natsume's Book of Friends Season 3,8.56,127345,131.0,1040,273310,1507,13.0,TV,Manga,Finished Airing,2011.0,summer,PG-13 - Teens 13 or older,24 min per ep,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Brain's Base,"Aniplex, Sakura Create",NIS America
Wolf Children,8.56,487842,132.0,250,871508,11935,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 57 min,"Award Winning, Slice of Life, Supernatural",Childcare,,Studio Chizu,"Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, TOHO, Hiroshima Television","Funimation, GKIDS"
Slam Dunk,8.56,152213,134.0,833,340236,8190,101.0,TV,Manga,Finished Airing,1993.0,fall,PG-13 - Teens 13 or older,23 min per ep,Sports,"School, Team Sports",Shounen,Toei Animation,TV Asahi,Geneon Entertainment USA
Steins;Gate 0,8.56,477586,135.0,208,961304,12939,23.0,TV,Visual novel,Finished Airing,2018.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Drama, Sci-Fi, Suspense",Time Travel,,White Fox,"Frontier Works, Movic, MAGES., Kadokawa",Funimation
Witch Hat Atelier,8.56,125959,136.0,740,373963,4681,13.0,TV,Manga,Finished Airing,2026.0,spring,PG-13 - Teens 13 or older,23 min per ep,Fantasy,,Seinen,BUG FILMS,"Kodansha, Avex Pictures, Crunchyroll, Twin Engine, dugout",
Fights Break Sphere Special 3: Three Years of Pledge,8.55,5047,137.0,6874,11651,208,13.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,24 min per ep,"Action, Adventure, Fantasy","Historical, Martial Arts",,Motion Magic,"Tencent Video, China Literature Limited, Wanda Cinemas",
I Want To Eat Your Pancreas,8.55,674956,138.0,160,1128817,23490,1.0,Movie,Novel,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 48 min,"Drama, Romance",School,,Studio VOLN,"Aniplex, Asahi Shimbun, Futabasha, ABC Animation, JR East Marketing & Communications, Tohan Corporation",Aniplex of America
The Tatami Galaxy,8.55,157485,139.0,529,498287,19262,11.0,TV,Novel,Finished Airing,2010.0,spring,R - 17+ (violence & profanity),22 min per ep,"Award Winning, Comedy, Mystery, Romance, Suspense","Adult Cast, Psychological, Time Travel",,Madhouse,"Dentsu, Kadokawa Shoten, Fuji TV, TOHO, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",Funimation
Fate/Zero Season 2,8.54,760266,140.0,140,1201337,20720,12.0,TV,Light novel,Finished Airing,2012.0,spring,R - 17+ (violence & profanity),24 min per ep,"Action, Fantasy",Urban Fantasy,,ufotable,"Aniplex, Nitroplus, Seikaisha, Notes",Aniplex of America
Grave of the Fireflies,8.54,463391,141.0,303,773131,9281,1.0,Movie,Novel,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 28 min,Drama,Historical,,Studio Ghibli,,"ADV Films, Central Park Media, Sentai Filmworks, GKIDS"
Attack on Titan Season 2,8.54,2078396,142.0,13,3039394,23198,12.0,TV,Manga,Finished Airing,2017.0,spring,R - 17+ (violence & profanity),24 min per ep,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,Wit Studio,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation
A Record Of Mortal's Journey To Immortality 4th Season,8.53,1405,143.0,10962,3307,58,52.0,ONA,Web novel,Finished Airing,,,PG-13 - Teens 13 or older,20 min per ep,"Action, Adventure, Fantasy","Historical, Martial Arts",,"Original Force, Wonder Cat Animation",bilibili,
Showa Genroku Rakugo Shinju,8.54,99881,143.0,903,316182,6063,13.0,TV,Manga,Finished Airing,2016.0,winter,PG-13 - Teens 13 or older,26 min per ep,Drama,"Historical, Love Polygon, Performing Arts",Josei,Studio Deen,"Starchild Records, Mainichi Broadcasting System, Kodansha, DAX Production",
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,8.53,1189706,145.0,64,1790906,13511,1.0,Movie,Manga,Finished Airing,,,R - 17+ (violence & profanity),1 hr 56 min,"Action, Supernatural",Historical,Shounen,ufotable,"Aniplex, Shueisha",Aniplex of America
Mushi-shi: The Shadow that Devours the Sun,8.53,73575,146.0,1749,154239,214,1.0,TV Special,Manga,Finished Airing,,,PG-13 - Teens 13 or older,44 min,"Adventure, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",Seinen,Artland,"Aniplex, Kodansha, Delfi Sound",
Natsume's Book of Friends Season 2,8.53,134756,147.0,1060,267762,1505,13.0,TV,Manga,Finished Airing,2009.0,winter,PG-13 - Teens 13 or older,24 min per ep,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Brain's Base,"Aniplex, Nihon Ad Systems",NIS America
[Oshi No Ko],8.53,628880,148.0,175,1062984,31713,11.0,TV,Manga,Finished Airing,2023.0,spring,PG-13 - Teens 13 or older,30 min per ep,"Award Winning, Drama","Reincarnation, Showbiz",Seinen,Doga Kobo,"Delfi Sound, Shueisha, CyberAgent, Kadokawa",Sentai Filmworks
Fruits Basket 2nd Season,8.52,305182,149.0,431,588921,6505,25.0,TV,Manga,Finished Airing,2020.0,spring,PG-13 - Teens 13 or older,23 min per ep,"Drama, Romance, Supernatural",School,Shoujo,TMS Entertainment,"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN",Funimation
Gintama: The Movie,8.52,102518,150.0,1567,178243,643,1.0,Movie,Manga,Finished Airing,,,R - 17+ (violence & profanity),1 hr 35 min,"Action, Comedy, Sci-Fi","Historical, Parody, Samurai",Shounen,Sunrise,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Sentai Filmworks
