title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Ty the Tasmanian Tiger 2: Bush Rescue,GBA,Platform,Electronic Arts,Krome Studios,,0.13,0.09,,0.03,0.0,2004-10-12
Castlevania Chronicles,PS,Platform,Konami,Konami Computer Entertainment Tokyo,7.2,0.13,0.07,,0.05,0.01,2001-10-08
Bratz,GBA,Platform,Ubisoft,DC Studios,,0.13,0.1,,0.04,0.0,2003-03-12
Tak 2: The Staff of Dreams,XB,Platform,THQ,Avalanche Software,,0.13,0.1,,0.03,0.0,2004-10-11
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,PS2,Platform,Ubisoft,Phoenix Games Studio,,0.13,0.06,,0.05,0.02,2005-02-08
BlazBlue: Continuum Shift II,PSP,Fighting,Aksys Games,Arc System Works,7.5,0.13,0.03,0.07,0.02,0.01,2011-05-31
Dynasty Warriors Gundam Reborn,PSV,Action,Namco Bandai Games,Omega Force,,0.13,,0.13,,,2013-12-19
Dynasty Warriors 5 Empires,X360,Action,KOEI,Omega Force,6.4,0.13,0.11,,0.01,0.01,2006-03-28
Thor: God of Thunder,DS,Action,Sega,WayForward Technologies,6.4,0.13,0.08,,0.03,0.01,2011-05-03
Rurouni Kenshin: Enjou! Kyoto Rinne,PS2,Action,Banpresto,Eighting,,0.13,,0.13,,,2006-09-14
Blade II,XB,Action,Activision,Mucky Foot Productions,,0.13,0.1,,0.03,0.0,2002-09-02
Samurai Warriors 4-II,PS4,Action,Tecmo Koei,Omega Force,,0.13,0.04,0.07,0.02,0.01,2015-09-29
Killer is Dead,X360,Action,Xseed Games,Grasshopper Manufacture,,0.13,0.09,0.01,0.02,0.01,2013-08-27
Onechanbara: Bikini Samurai Squad,X360,Action,D3 Publisher,Tamsoft Corporation,,0.13,0.11,,0.01,0.01,2009-02-10
Assassin's Creed II: Deluxe Edition,PC,Action,Ubisoft,Ubisoft Montreal,,0.13,,,0.1,0.03,2010-03-09
Cruise Ship Vacation Games,Wii,Puzzle,GameMill,Frozen Codebase,,0.13,0.12,,0.0,0.01,2009-09-08
Classic NES Series: Dr. Mario,GBA,Puzzle,Nintendo,Nintendo EAD,6.1,0.13,,0.13,,,2004-10-25
Margot's Word Brain,Wii,Puzzle,Zoo Digital Publishing,Slam Games,,0.13,0.12,,0.0,0.01,2008-09-23
Teenage Mutant Ninja Turtles: Danger of the Ooze,3DS,Platform,Activision,WayForward Technologies,,0.13,0.08,,0.04,0.01,2014-10-28
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GBA,Platform,Ubisoft,Phoenix Games Studio,,0.13,0.09,,0.03,0.0,2005-02-08
Disney's Kim Possible: Kimmunicator,DS,Platform,Buena Vista,Artificial Mind and Movement,,0.13,0.11,,0.01,0.01,2005-11-09
Reality Fighters,PSV,Fighting,Sony Computer Entertainment,Sony Computer Entertainment,,0.13,0.05,,0.06,0.03,2012-03-13
Shonen Jump's One Piece: Grand Battle,PS2,Fighting,Bandai,Ganbarion,,0.13,0.07,,0.05,0.02,2005-09-07
Hulk Hogan's Main Event,X360,Fighting,Majesco,Panic Button LLC,,0.13,0.1,,0.02,0.01,2011-10-11
Supremacy MMA,PS3,Fighting,505 Games,Kung Fu Factory,5.0,0.13,0.08,,0.04,0.02,2011-09-20
WipeOut 3 The Game,WiiU,Party,Activision,Behaviour Interactive,,0.13,0.11,,,0.01,2012-11-18
Learn Math,DS,Puzzle,DreamCatcher Interactive,DreamCatcher Interactive,,0.13,0.12,,,0.01,2009-12-22
Kororinpa: Marble Mania,Wii,Puzzle,Konami,Hudson Soft,,0.13,0.08,0.03,0.02,0.01,2007-03-20
Zenses: Ocean,DS,Puzzle,Game Factory,Shin'en,,0.13,0.11,,0.01,0.01,2008-10-28
Puyo Puyo!! 20th Anniversary,3DS,Puzzle,Sega,Sonic Team,,0.13,,0.13,,,2011-12-15
I Spy: Universe,DS,Puzzle,Scholastic Inc.,Big Blue Bubble Inc.,,0.13,0.12,,,0.01,2010-06-18
Gotouchi Tetsudou: Gotouchi Kyara to Nihon Zenkoku no Tabi,3DS,Puzzle,Namco Bandai Games,Namco Bandai Games,,0.13,,0.13,,,2014-11-27
Zapper: One Wicked Cricket!,GC,Platform,Infogrames,Blitz Games,6.6,0.13,0.1,,0.03,0.0,2002-11-06
SkullMonkeys,PS,Platform,Electronic Arts,"The Neverhood, Inc.",,0.13,0.07,,0.05,0.01,1998-01-31
