PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
Kevin Love,MIA,36.0,23,10.9,5.3,4.1,1.0,0.7,0.2,0.6,0.357,0.358,0.696,-1.1,80,251,2008,1,5
Kevin Porter Jr.,MIL,25.0,75,19.8,10.3,3.7,3.4,1.1,0.2,1.8,0.449,0.311,0.769,0.4,76,203,2019,1,30
Kevon Looney,GSW,29.0,76,15.0,4.5,6.1,1.6,0.6,0.5,0.5,0.514,0.4,0.566,1.5,81,222,2015,1,30
Keyonte George,UTA,21.0,67,31.5,16.8,3.8,5.6,0.7,0.1,2.7,0.391,0.343,0.818,-7.6,76,185,2023,1,16
Khris Middleton,WAS,33.0,37,22.8,11.9,3.7,4.1,0.9,0.2,1.5,0.475,0.361,0.857,1.1,79,222,2012,2,39
Klay Thompson,DAL,35.0,72,27.3,14.0,3.4,2.0,0.7,0.4,1.2,0.412,0.391,0.905,-1.1,77,220,2011,1,11
Kobe Brown,LAC,25.0,40,6.8,1.9,1.6,0.6,0.2,0.1,0.3,0.458,0.231,0.714,-1.3,79,250,2023,1,30
Kris Dunn,LAC,31.0,74,24.1,6.4,3.4,2.8,1.7,0.4,1.0,0.439,0.335,0.682,3.5,75,205,2016,1,5
Kris Murray,POR,24.0,69,15.1,4.2,2.6,1.0,0.5,0.2,0.6,0.419,0.225,0.456,-0.7,80,216,2023,1,23
Kristaps Porziņģis,BOS,29.0,42,28.8,19.5,6.8,2.1,0.7,1.5,1.3,0.483,0.412,0.809,4.1,86,240,2015,1,4
Kyle Anderson,MIA,31.0,61,16.4,5.9,3.4,2.4,0.7,0.5,0.6,0.469,0.357,0.738,-0.4,81,230,2014,1,30
Kyle Filipowski,UTA,21.0,72,21.1,9.6,6.1,1.9,0.7,0.3,1.4,0.502,0.35,0.65,-5.1,83,250,2024,2,32
Kyle Kuzma,MIL,29.0,65,29.8,14.8,5.7,2.3,0.6,0.3,2.2,0.436,0.307,0.634,-6.4,81,221,2017,1,27
Kyle Lowry,PHI,39.0,35,18.8,3.9,1.9,2.7,0.9,0.3,0.6,0.35,0.33,0.818,-2.0,72,196,2006,1,24
Kyrie Irving,DAL,33.0,50,36.1,24.7,4.8,4.6,1.3,0.5,2.2,0.473,0.401,0.916,2.5,74,195,2011,1,1
Kyshawn George,WAS,21.0,68,26.5,8.7,4.2,2.5,1.0,0.7,1.4,0.372,0.322,0.753,-5.3,80,200,2024,1,24
LaMelo Ball,CHA,23.0,47,32.0,25.2,4.9,7.4,1.1,0.3,3.6,0.405,0.339,0.843,-2.8,79,180,2020,1,3
Landry Shamet,NYK,28.0,50,15.2,5.7,1.2,0.5,0.5,0.0,0.4,0.461,0.397,0.667,1.8,76,190,2018,1,26
Larry Nance Jr.,ATL,32.0,24,19.3,8.5,4.3,1.6,0.8,0.5,0.7,0.516,0.447,0.692,-4.0,80,245,2015,1,27
Lauri Markkanen,UTA,28.0,47,31.4,19.0,5.9,1.5,0.7,0.4,1.4,0.423,0.346,0.876,-4.0,84,240,2017,1,7
LeBron James,LAL,40.0,70,34.9,24.4,7.8,8.2,1.0,0.6,3.7,0.513,0.376,0.782,-0.8,81,250,2003,1,1
Lindy Waters III,DET,27.0,52,15.0,4.9,2.1,1.0,0.5,0.2,0.4,0.369,0.344,0.727,0.3,78,210,Undrafted,Undrafted,Undrafted
Lonnie Walker IV,PHI,26.0,20,23.8,12.4,3.2,2.5,0.5,0.3,1.3,0.42,0.354,0.8,-7.1,76,204,2018,1,18
Lonzo Ball,CHI,27.0,35,22.2,7.6,3.4,3.3,1.3,0.5,1.2,0.366,0.344,0.815,2.9,78,190,2017,1,2
Luguentz Dort,OKC,26.0,71,29.2,10.1,4.1,1.6,1.1,0.5,0.7,0.435,0.412,0.717,7.7,76,220,Undrafted,Undrafted,Undrafted
Luka Dončić,LAL,26.0,50,35.4,28.2,8.2,7.7,1.8,0.4,3.6,0.45,0.368,0.782,6.9,78,230,2018,1,3
Luka Garza,MIN,26.0,39,5.6,3.5,1.4,0.3,0.2,0.1,0.3,0.495,0.278,0.686,0.0,82,243,2021,2,52
Luke Kennard,MEM,29.0,65,22.6,8.9,2.8,3.3,0.8,0.1,1.1,0.478,0.433,0.895,1.9,77,206,2017,1,12
Luke Kornet,BOS,29.0,73,18.6,6.0,5.3,1.6,0.5,1.0,0.4,0.668,0.0,0.691,5.5,85,250,Undrafted,Undrafted,Undrafted
Malaki Branham,SAS,22.0,47,9.1,5.0,1.1,0.8,0.2,0.0,0.7,0.458,0.405,0.818,-0.7,76,180,2022,1,20
Malcolm Brogdon,WAS,32.0,24,23.5,12.7,3.8,4.1,0.5,0.2,1.6,0.433,0.286,0.88,-5.0,76,229,2016,2,36
Malik Beasley,DET,28.0,82,27.8,16.3,2.6,1.7,0.9,0.1,1.0,0.43,0.416,0.679,2.1,76,187,2016,1,19
Malik Monk,SAC,27.0,65,31.6,17.2,3.8,5.6,0.9,0.6,2.4,0.439,0.325,0.865,1.8,75,200,2017,1,11
MarJon Beauchamp,NYK,24.0,35,4.5,2.3,1.3,0.3,0.1,0.0,0.4,0.415,0.345,0.75,0.3,79,199,2022,1,24
Marcus Sasser,DET,24.0,57,14.2,6.6,1.2,2.3,0.6,0.1,0.9,0.463,0.382,0.843,0.7,74,195,2023,1,25
Marcus Smart,WAS,31.0,34,20.0,9.0,2.1,3.2,1.1,0.3,1.6,0.393,0.348,0.761,1.2,75,220,2014,1,6
Mark Williams,CHA,23.0,44,26.6,15.3,10.2,2.5,0.7,1.2,1.6,0.604,0.0,0.804,-6.8,84,240,2022,1,15
Markelle Fultz,SAC,27.0,21,8.8,2.9,1.0,1.3,0.5,0.1,0.7,0.418,0.5,1.0,0.2,76,209,2017,1,1
Marvin Bagley III,MEM,26.0,31,8.6,4.4,2.7,0.4,0.3,0.3,0.4,0.519,0.158,0.657,-0.3,82,235,2018,1,2
Mason Plumlee,PHX,35.0,74,17.6,4.5,6.1,1.8,0.4,0.6,0.8,0.619,0.0,0.648,0.7,82,254,2013,1,22
Matas Buzelis,CHI,20.0,80,18.9,8.6,3.5,1.0,0.4,0.9,0.9,0.454,0.361,0.815,-0.4,82,209,2024,1,11
