pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,sy_dist
HD 164604 c,HD 164604,12.5,3019.3698665,5387.0,5.556,,4663.0,0.78,0.77,Radial Velocity,2026.0,39.3633
Kepler-50 b,Kepler-50,1.71,8.9,7.81254,0.077,1196.0,6225.0,1.58,1.24,Transit,2012.0,250.11
HD 205158 b,HD 205158,13.9,,25.33798,0.177,,6133.55,1.87741,1.16,Radial Velocity,2022.0,86.6159
Kepler-162 b,Kepler-162,1.26,,6.919798,0.069,961.0,5816.0,0.958,1.053,Transit,2014.0,855.641
Kepler-176 b,Kepler-176,1.43,290.537,5.433074,0.058,841.0,5232.0,0.891,0.86,Transit,2014.0,527.321
K2-189 c,K2-189,2.31,,6.67932,0.068,877.0,5442.0,0.879,0.85,Transit,2018.0,242.113
K2-126 b,K2-126,1.97,,7.385655,0.0656,601.0,4339.0,0.65,0.69,Transit,2017.0,102.953
KMT-2018-BLG-0247L b,KMT-2018-BLG-0247L,13.4,670.61793877,,2.46,,,,0.29,Microlensing,2022.0,6760.0
KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,9.12,61.27,,2.37,,,,0.42,Microlensing,2022.0,5970.0
Kepler-193 c,Kepler-193,2.75,,50.697494,0.286,595.0,6335.0,1.147,1.051,Transit,2014.0,1009.1
Kepler-464 b,Kepler-464,3.3,,7.256965224,0.07931,1163.0,5933.0,1.59,1.21,Transit,2016.0,667.604
Kepler-244 b,Kepler-244,2.76,,4.311792,0.05,1038.0,5554.0,0.803,0.933,Transit,2014.0,1036.49
Kepler-183 b,Kepler-183,2.06,,5.687945,0.064,1088.0,5888.0,0.958,0.99,Transit,2014.0,1050.64
K2-193 b,K2-193,3.95,,14.786889,0.1184,739.0,5817.0,0.98,1.01,Transit,2018.0,411.923
TOI-908 b,TOI-908,3.186,16.137,3.183792,0.041657,1317.0,5626.0,1.028,0.95,Transit,2023.0,175.748
K2-197 b,K2-197,2.56,,8.357881,0.0806,848.0,5667.0,0.93,1.0,Transit,2018.0,247.637
Kepler-180 c,Kepler-180,3.01,,41.885775,0.229,540.0,5731.0,1.063,0.95,Transit,2014.0,695.65
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,13.6,413.1769291,,3.54,,,,0.63,Microlensing,2023.0,4540.0
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,6.91,38.19,,2.22,,,,0.22,Microlensing,2023.0,3090.0
Kepler-209 b,Kepler-209,2.26,,16.087845,0.122,668.0,5513.0,0.935,0.971,Transit,2014.0,576.946
Kepler-1729 b,Kepler-1729,3.89404186,,4.220970154,0.0418,595.0,3837.0,0.517,0.544,Transit,2021.0,576.181
Kepler-81 b,Kepler-81,2.42,17.2,5.955,0.0522,635.0,4385.0,0.59,0.64,Transit,2012.0,348.291
K2-198 d,K2-198,2.438,,7.4500177,,943.2,5212.9,0.757,0.799,Transit,2019.0,110.567
Kepler-501 b,Kepler-501,4.3,,5.640677572,0.0627,1125.0,5904.0,1.04,1.03,Transit,2016.0,1125.24
K2-198 c,K2-198,1.423,,3.3596055,,1229.9,5212.9,0.757,0.799,Transit,2019.0,110.567
