RECIPIENT NAME,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
VIRGINIA COMMONWEALTH UNIVERSI,RICHMOND,760,RICHMOND,VIRGINIA,232191415,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99999,0,99999,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,RICHMOND,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",VIRGINIA,STARTALK LANGUAGE INITIATIVE
VIRGINIA COMMONWEALTH UNIVERSI,RICHMOND,760,RICHMOND,VIRGINIA,232191415,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99999,0,99999,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,VIRGINIA,RICHMOND,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",VIRGINIA,STARTALK LANGUAGE INITIATIVE
THE CORPORATION OF GONZAGA UNI,SPOKANE,063,SPOKANE COUNTY,WASHINGTON,992581774,Private: private higher education,new assistance action,05,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",68479,0,68479,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,WASHINGTON,SPOKANE,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",WASHINGTON,STARTALK LANGUAGE INITIATIVE
NCOLCTL,MADISON,025,DANE COUNTY,WISCONSIN,537061405,Private: all other,new assistance action,02,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",85745,0,85745,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,WISCONSIN,MADISON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",WISCONSIN,STARTALK LANGUAGE INITIATIVE
UNIVERSITY OF WYOMING,LARAMIE,001,ALBANY COUNTY,WYOMING,820712000,Government codes: State controlled institutions of higher education,new assistance action,00,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",57113,0,57113,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,WYOMING,LARAMIE,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",WYOMING,STARTALK LANGUAGE INITIATIVE
"SUNNYVALE, CITY OF",SANTA CLARA,085,SANTA CLARA COUNTY,CALIFORNIA,940867637,Government codes: city or township government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,58573,0,58573,05/27/2010,04/01/2009,12/31/2010,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SANTA CLARA,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,CALIFORNIA,"BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND TO PROVIDE ASSISTANCE TO MITIGATE THE 2005 DEPARTMENT OF DEFENSE BASE CLOSURE AN
12.607,SAI NOT AVAILABLE,MCPHERSON IMPLEMENTING LOCAL R,30928,FORT MCPHERSON,121,FULTON COUNTY,GEORGIA,303033207,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,HQ00051010029   0001,"",255694,"",0,"",255694,04/01/2010,01/01/2010,12/31/2010,project grant  (B),action-by-action reporting,"","",1330928,GEORGIA,FORT MCPHERSON,COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA,DOD-OFFICE OF THE SECRETARY OF DEFENSE,GEORGIA,BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE BASE CLOSURE A
12.607,SAI NOT AVAILABLE,BI-STATE REGIONAL COMMISSION,65104,ROCK ISLAND ARSENAL,161,ROCK ISLAND COUNTY,ILLINOIS,612018624,Private: all other,funding adjustment to completed project,17,DOD-OFFICE OF THE SECRETARY OF DEFENSE,OEA9900910044   0000,-,9701,"",0,-,9701,04/28/2010,04/01/2008,11/30/2010,project grant  (B),action-by-action reporting,"","",1765104,ILLINOIS,ROCK ISLAND ARSENAL,COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA,DOD-OFFICE OF THE SECRETARY OF DEFENSE,ILLINOIS,BASE REALIGNMENT (RA) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE BASE CLOSU
12.607,SAI NOT AVAILABLE,NEWPORT CHEMICAL DEPOT REUSE A,53503,NEWPORT ARMY AMMUN.,165,VERMILLION COUNTY,INDIANA,478427160,Government codes: special district government,new assistance action,08,DOD-OFFICE OF THE SECRETARY OF DEFENSE,HQ00051010049,"",1291270,"",0,"",1291270,04/01/2010,02/01/2010,12/31/2010,project grant  (B),action-by-action reporting,"","",1853503,INDIANA,NEWPORT ARMY AMMUN.,COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA,DOD-OFFICE OF THE SECRETARY OF DEFENSE,INDIANA,BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE BASE CLOSURE A
12.607,SAI NOT AVAILABLE,NEW ORLEANS, CITY OF,55000,NEW ORLEANS,071,ORLEANS (PARISH),LOUISIANA,701121221,Government codes: city or township government,new assistance action,90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,HQ00051010056,"",373267,"",0,"",373267,05/27/2010,10/01/2009,09/30/2010,project grant  (B),action-by-action reporting,"","",2255000,LOUISIANA,NEW ORLEANS,COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA,DOD-OFFICE OF THE SECRETARY OF DEFENSE,LOUISIANA,BASE CLOSURE (CL) TO EVALUATE COMMUNITY NEEDS AND CAPABILITIES, AND PROVIDE ASSISTANCE TO MITIGATE THE MAY 2005 DEPARTMENT OF DEFENSE BASE CLOSURE A
12.607,SAI NOT AVAILABLE,EXECUTIVE OFFICE OF THE STATE,02100,AUGUSTA,011,KENNEBEC COUNTY,MAINE,043330001,Government codes: State government,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-OFFICE OF THE SECRETARY OF DEFENSE,HQ00051010008   0002,"",261997,"",0,"",261997,06/14/2010,11/01/2008,12/31/2010,project grant  (B),action-by-action reporting,"","",2302100,MAINE,AUGUSTA,COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA,DOD-OFFICE OF THE SECRETARY OF DEFENSE,MAINE,BASE CLOSURE (CL) TO EVALUATE THE STATE OF MAINE'S NEEDS AND CAPABILITIES, AND TO PROVIDE ASSISTANCE TO MITIGATE THE SEPTEMBER 2005 DEFENSE BASE CLOS"
HENRY M JACKSON FOUNDATION FOR,BETHESDA,031,MONTGOMERY COUNTY,MARYLAND,208521402,Government codes: State controlled institutions of higher education,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",4831110,0,4831110,05/10/2010,03/01/2006,05/31/2011,project grant  (B),action-by-action reporting,NA,NA,MARYLAND,BETHESDA,"DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MARYLAND,DEFENSE GRADUATE PSYCHOLOGY EDUCATION PROGRAM
LOCAL REDEVELOPMENT AUTH ROOSE,HATO REY,127,SAN JUAN MUNICIPIO,PUERTO RICO,009181111,Private: all other,funding adjustment to completed project,98,DOD-OFFICE OF THE SECRETARY OF DEFENSE,22634,0,22634,05/18/2010,09/01/2008,08/31/2010,project grant  (B),action-by-action reporting,NA,NA,PUERTO RICO,HATO REY,"COMMUNITY ECONOMIC ADJUSTMENT ASSISTANCE FOR ESTABLISHMENT, EXPANSION, REA",DOD-OFFICE OF THE SECRETARY OF DEFENSE,PUERTO RICO,NON BRAC CLOSURE (BC) THE FY04 NATIONAL DEFENSE APPROPRIATIONS ACT (P.L. 108-87) DIRECTED THE CLOSURE OF NAVAL STATION ROOSEVELT ROADS (NSRR) 6 MONTH
MATERIALS & ELECTROCHEMICAL RE,TUCSON,019,PIMA COUNTY,ARIZONA,857069237,Private: small business,continuation (funding in succeeding budget period which stemmed from prior agreement to fund - amount of the current action),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,2293091,0,2293091,05/10/2010,08/17/2006,08/31/2011,"other reimbursable, contingent, intangible, or indirect financial assistance",action-by-action reporting,NA,NA,ARIZONA,TUCSON,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,ARIZONA,CONSORTIUM INCREMENTALLY
REGENTS OF THE UNIVERSITY OF C,BERKELEY,001,ALAMEDA COUNTY,CALIFORNIA,947045940,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/14/2010,04/14/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,BERKELEY,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,STARTALK LANGUAGE INITIATIVE
THE REGENTS OF THE UNIVERSITY,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99256,0,99256,04/09/2010,04/09/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,LOS ANGELES,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,STARTALK LANGUAGE INITIATIVE
THE REGENTS OF THE UNIVERSITY,LOS ANGELES,037,LOS ANGELES COUNTY,CALIFORNIA,900246523,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99377,0,99377,04/13/2010,04/13/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,LOS ANGELES,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,STARTALK LANGUAGE INITIATIVE
FOUNDATION FOR CALIFORNIA STAT,SAN BERNARDINO,071,SAN BERNARDINO COUNTY,CALIFORNIA,924072318,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99859,0,99859,04/05/2010,04/05/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SAN BERNARDINO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,STARTALK LANGUAGE INITIATIVE
SAN DIEGO STATE UNIVERSITY FOU,SAN DIEGO,073,SAN DIEGO COUNTY,CALIFORNIA,921821901,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",65552,0,65552,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SAN DIEGO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,STARTALK LANGUAGE INITIATIVE
SAN DIEGO STATE UNIVERSITY FOU,SAN DIEGO,073,SAN DIEGO COUNTY,CALIFORNIA,921821901,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",97115,0,97115,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SAN DIEGO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,STARTALK LANGUAGE INITIATIVE
SAN DIEGO STATE UNIVERSITY FOU,SAN DIEGO,073,SAN DIEGO COUNTY,CALIFORNIA,921821901,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99340,0,99340,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SAN DIEGO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,STARTALK LANGUAGE INITIATIVE
CALIFORNIA STATE UNIVERSITY,SAN FRANCISCO,075,SAN FRANCISCO COUNTY,CALIFORNIA,941321722,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99952,0,99952,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SAN FRANCISCO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,STARTALK LANGUAGE INITIATIVE
CALIFORNIA STATE UNIVERSITY,SAN FRANCISCO,075,SAN FRANCISCO COUNTY,CALIFORNIA,941321722,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99974,0,99974,04/08/2010,04/08/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,SAN FRANCISCO,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,STARTALK LANGUAGE INITIATIVE
REGENTS OF THE UNIVERSITY OF C,BERKELEY,001,ALAMEDA COUNTY,CALIFORNIA,947045940,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",684673,0,684673,06/04/2010,07/01/2010,06/30/2012,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,BERKELEY,RESEARCH AND TECHNOLOGY DEVELOPMENT,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CALIFORNIA,"TAS::97 0400::TAS Q-BOOSTED OPTOMECHANICAL RESONATORS"""
CALIFORNIA INSTITUTE OF TECHNO,PASADENA,037,LOS ANGELES COUNTY,CALIFORNIA,911250001,Government codes: State controlled institutions of higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,935070,0,935070,06/28/2010,06/28/2010,06/27/2012,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,PASADENA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,MANIPULATING THE QUANTUM FLUCTUATIONS FOR A MECHANICAL DEVICE
FOUNDATION FOR ENTERPRISE DEVE,PLACENTIA,059,ORANGE COUNTY,CALIFORNIA,920373602,Private: all other,revision (any change in Federal Government's financial obligation or contingent liability in existing assistance transaction - amount of the <u>change</u> in funding),90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,500000,0,500000,04/14/2010,06/09/2006,12/31/2011,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,PLACENTIA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,DARPA SUCCESS REPORTS
LELAND STANFORD JUNIOR UNIVERS,STANFORD,085,SANTA CLARA COUNTY,CALIFORNIA,943057209,Private: private higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,295200,0,295200,06/01/2010,06/01/2010,05/31/2012,project grant  (B),action-by-action reporting,NA,NA,CALIFORNIA,STANFORD,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,CALIFORNIA,EXPERIMENTALLY VALIDATED MODELS FOR LIGHTNING STROKE SUPPRESSION
YALE UNIVERSITY,NEW HAVEN,009,NEW HAVEN COUNTY,CONNECTICUT,065116614,Private: private higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",445086,0,445086,06/04/2010,06/15/2010,06/14/2012,project grant  (B),action-by-action reporting,NA,NA,CONNECTICUT,NEW HAVEN,RESEARCH AND TECHNOLOGY DEVELOPMENT,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",CONNECTICUT,"TAS::97 0400::TAS CIRCUIT CAVITY OPTOMECHANICS FOR COOLING AND AMPLIFICATION ON A CMOS CHIP"""
VIETNAM VETERANS MEMORIAL FUND,WASHINGTON,001,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,200052613,Nonprofit agencies: other nonprofit,new assistance action,98,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",985000,0,985000,06/02/2010,03/01/2010,06/01/2011,project grant  (B),action-by-action reporting,NA,NA,DISTRICT OF COLUMBIA,WASHINGTON,CONGRESSIONALLY DIRECTED ASSISTANCE,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",DISTRICT OF COLUMBIA,FOR PROJECT RENEW'S DE-MINING ACTIVITIES IN QUANG TRI PROVINCE.
THE GEORGE WASHINGTON UNIVERSI,WASHINGTON,001,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,200520001,Government codes: State controlled institutions of higher education,new assistance action,98,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",223622,0,223622,04/28/2010,05/01/2010,04/30/2011,project grant  (B),action-by-action reporting,NA,NA,DISTRICT OF COLUMBIA,WASHINGTON,MATHEMATICAL SCIENCES GRANTS PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",DISTRICT OF COLUMBIA,SUMMER PROGRAM FOR WOMEN IN MATHEMATICS
CENTER FOR APPLIED LINGUISTICS,WASHINGTON,001,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,200161872,Private: all other,new assistance action,98,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99914,0,99914,04/02/2010,04/02/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,DISTRICT OF COLUMBIA,WASHINGTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",DISTRICT OF COLUMBIA,STARTALK LANGUAGE INITIATIVE
UNIVERSITY OF FLORIDA,GAINESVILLE,001,ALACHUA COUNTY,FLORIDA,326110001,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",26864,0,26864,04/27/2010,04/27/2010,04/26/2011,project grant  (B),action-by-action reporting,NA,NA,FLORIDA,GAINESVILLE,MATHEMATICAL SCIENCES GRANTS PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",FLORIDA,RESEARCH IN FINITE GROUP THEORY
BARRY UNIVERSITY INC,MIAMI,086,MIAMI-DADE COUNTY,FLORIDA,331616628,Private: private higher education,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,1200000,0,1200000,06/09/2010,06/09/2010,06/08/2012,project grant  (B),action-by-action reporting,NA,NA,FLORIDA,MIAMI,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,FLORIDA,SURVEILLANCE OF WATER SOURCES FOR CONTAMINATION PATHOGEN PROGRAM
GEORGIA TECH RESEARCH CORPORAT,ATLANTA,121,FULTON COUNTY,GEORGIA,303320001,Nonprofit agencies: other nonprofit,new assistance action,90,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,412569,0,412569,06/30/2010,06/30/2010,04/30/2011,project grant  (B),action-by-action reporting,NA,NA,GEORGIA,ATLANTA,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,GEORGIA,SENSOR-DRIVEN AUTONOMOUS BEHAVIOR ALOGRITHMS FOR CHEMICAL PLUME TRACKING
UNIVERSITY OF ILLINOIS,CHICAGO,031,COOK COUNTY,ILLINOIS,606124305,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",30223,0,30223,04/20/2010,04/20/2010,04/19/2011,project grant  (B),action-by-action reporting,NA,NA,ILLINOIS,CHICAGO,MATHEMATICAL SCIENCES GRANTS PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",ILLINOIS,"RATIONAL POINTS, AUTOMORPHIC FORMS AND BESSEL FUNCTIONALS"
TRUSTEES OF INDIANA UNIVERSITY,BLOOMINGTON,105,MONROE COUNTY,INDIANA,474051106,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99999,0,99999,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,INDIANA,BLOOMINGTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",INDIANA,STARTALK LANGUAGE INITIATIVE
TRUSTEES OF INDIANA UNIVERSITY,BLOOMINGTON,105,MONROE COUNTY,INDIANA,474051106,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",69020,0,69020,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,INDIANA,BLOOMINGTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",INDIANA,STARTALK LANGUAGE INITIATIVE
TRUSTEES OF INDIANA UNIVERSITY,BLOOMINGTON,105,MONROE COUNTY,INDIANA,474051106,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/09/2010,04/09/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,INDIANA,BLOOMINGTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",INDIANA,STARTALK LANGUAGE INITIATIVE
TRUSTEES OF INDIANA UNIVERSITY,BLOOMINGTON,105,MONROE COUNTY,INDIANA,474051106,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",100000,0,100000,04/06/2010,04/06/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,INDIANA,BLOOMINGTON,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",INDIANA,STARTALK LANGUAGE INITIATIVE
"UNIVERSITY OF IOWA, THE (INC)",IOWA CITY,103,JOHNSON COUNTY,IOWA,522421316,Government codes: State controlled institutions of higher education,new assistance action,02,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",99947,0,99947,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,IOWA,IOWA CITY,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",IOWA,STARTALK LANGUAGE INITIATIVE
IOWA STATE UNIVERSITY EQUITIES,AMES,169,STORY COUNTY,IOWA,500112025,Government codes: State controlled institutions of higher education,new assistance action,04,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",95523,0,95523,04/07/2010,04/07/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,IOWA,AMES,INFORMATION SECURITY GRANT PROGRAM,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",IOWA,STARTALK LANGUAGE INITIATIVE
"KENTUCKY BIOPROCESSING, LLC",OWENSBORO,059,DAVIESS COUNTY,KENTUCKY,423017703,Private: profit organization,new assistance action,02,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,17900500,7181803,25082303,04/01/2010,04/01/2010,03/31/2011,"other reimbursable, contingent, intangible, or indirect financial assistance",action-by-action reporting,NA,NA,KENTUCKY,OWENSBORO,RESEARCH AND TECHNOLOGY DEVELOPMENT,DOD-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,KENTUCKY,H1N1 ACCELERATION (BLUE ANGEL)
HENRY M JACKSON FOUNDATION FOR,BETHESDA,031,MONTGOMERY COUNTY,MARYLAND,208521402,Government codes: State controlled institutions of higher education,new assistance action,90,"DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",499994,0,499994,06/28/2010,07/01/2010,06/30/2013,block grant  (A),action-by-action reporting,NA,NA,MARYLAND,BETHESDA,"DOD MEDICAL RESEARCH, CONSULTATION AND EDUCATION PROGRAMS","DEFENSE, DEPARTMENT OF (EXCEPT MILITARY DEPARTMENTS)",MARYLAND,ELECTROMYOSTIMULATION AND STRENGTH WALKING FOR KNEE INJURIES: NURSE MANAGED CARE
